restaurant_name,address,zip_code
Copper Oven Artisan Pizza,73196 Highway 111,92260
Carl's Jr,20900 Roscoe Blvd,91304
McDonald's,1760 41st Ave,95010
Carl's Jr,401 Las Posas Rd,93010
Del Taco,2871 Lenwood Rd,92311
Del Taco,12690 Ramona Blvd,91706
Little Caesars Pizza,1210 N Hacienda Blvd,91744
McDonald's,562 N Main St,93514
McDonald's,1310 E Lamar St,31709
Burger King,2009 E Greenville St,29621
Carl's Jr,2521 W Commonwealth Ave,91803
Sbarro,3450 Wrightsboro Rd Ste 2340,30909
Casey's General Store,810 Oak Ave,62447
Casey's General Store,701 S Van Buren St,62448
Chipotle Mexican Grill,9175 De Soto Ave,91311
McDonald's,328 N Main St,30125
Burger King,3025 Main St,06033
Boston Market,2834 Main St,06033
McDonald's,605 E Broadway St,42718
SUBWAY,1602 E Broadway St,42718
Burger King,1475 Holiday Ln,94534
Fat Patty's,1442 Winchester Ave,41101
Dairy Queen,12759 Us Route 60,41102
Pizza Hut,1439 S US Highway 1,34950
Arby's,12915 Cortez Blvd,34613
McDonald's,11671 Se Federal Hwy,33455
Culver's,8792 Navarre Pkwy,32566
Burger King,825 E 49th St,33013
Pizza Hut,2750 W 68th St Ste 104,33016
Dairy Queen,36172 Hwy 27,33844
Pizza Hut,52 Tuscan Way Ste 208,32092
KFC,1232 Providence Blvd,32725
McDonald's,2370 US Highway 331 S,32435
SONIC Drive-In,1508 US Highway 331 S,32435
Whataburger,2434 US Highway 331 S,32435
Arby's,9975 Corkscrew Rd,33928
Chick-Fil-A,519 Brandon Town Center Mall,33511
Taco Bell,865 S Main St,33430
McDonald's,339 US Highway 27 S,33825
Pizza Hut,1498 US Highway 17 N,33873
Firehouse Subs,1608 W Orange Blossom Trl,32712
Burger King,460 Airways Ave,31408
SONIC Drive-In,1510 N Summit St,67005
McDonald's,2613 Central Ave,67801
Burger King,2501 Se Delaware Ave,50021
Cupie's Drive-In,134 W Kamehameha Ave,96732
Chick-Fil-A,230 S Duff Ave,50010
Burger King,2817 E 13th St,50010
Burger King,1020 E 1st St,50021
Pizza Hut,2450 S Vista Ave,83705
Burger King,1807 N Church St,27217
Dairy Queen,2535 18th St,52722
McDonald's,9320 Steele Creek Rd,28273
Burger King,9640 Mariposa Rd,92344
Burger King,17021 Main St,92345
Del Taco,14485 Inglewood Ave,90250
Del Taco,18070 Chatsworth St,91344
Arby's,1200 Forrest Ave,19904
McDonald's,300 Mccarter Rd,29644
Burger King,2040 Cumberland St,17042
Chipotle Mexican Grill,1451 Quentin Rd,17042
Taco Bell,609 Naamans Rd,19703
Pizza Hut,5800 W Chandler Blvd,85226
McDonald's,1205 Commons Cir,54467
Arby's,1099 S Blackhawk St,80012
Primo's Pizza,406 N Pershing St,62933
Simple Simon's Pizza,201 Lee Town Rd,72751
Arby's,3067 Wilma Rudolph Blvd,37040
Dairy Queen,1635 W State St,44601
CASA Mexicana,5311 Highway 5 N Ste 240,72022
Burger King,3001 N Reynolds Rd,72022
Burger King,2275 E Butler Ave,86004
Arby's,1818 6th St,57006
KFC,3051 W Apache Trl,85120
Burger King,Route 52 Airport Square,24701
Bob Evans,102 Harper Park Dr,25801
Pizza Hut,1912 Harper Rd,25801
Players Grill,1855 Deerfield Rd,60035
Burger King,3 Clarksburg Rd,26201
Arby's,302 Yellowstone Ave,82414
Burger King,1902 Mountain View Dr,82414
Pizza Hut,5320 Yellowstone Rd,82009
Back Yard Burgers,1100 Poplar View Ln N,38017
Arby's,967 W Poplar Ave,38017
Arby's,2607 Cy Ave,82604
Arby's,1860 N Germantown Pkwy,38016
SUBWAY,310 W Grand Xing,57601
Arby's,1502 N Clinton St,43512
Pizza Hut,1133 N Clinton St,43512
Pizza Hut,11 W Dayton Yellow Springs Rd,45324
Arby's,1205 6th Ave Se,57401
McDonald's,2260 Highway 394,37617
McDonald's,214 Carolina Pottery Dr,37617
Arby's,1313 Highway 394,37617
Burger King,100 Prince Royal Dr,40403
Italo's Pizza,16311 State Route 267,43920
Dairy Queen,900 W 8th St,43920
Hunan Gardens,723 Saratoga Ave,45804
Burger King,23777 Us Route 23,43113
Burger King,414 Water St,44024
Burger King,2005 S Main St,43311
Burger King,2000 E Edgerton Rd,44147
Burger King,10037 Broadview Rd,44147
Toppers Pizza,475 Chippewa Mall Dr,54729
Hernandez Mexican Restaurant,212 S 7th St,53115
Culver's,1931 E Geneva St,53115
Burger King,2680 Market St,24073
Arby's,2650 Market St,24073
Burger King,1004 S Main St,23901
Glorious Foods Gourmet to go & Catering,1709 Allied Ln,22903
Little Caesars Pizza,1835 Ne Division St,97030
Arby's,9575 Dyer St,79924
