restaurant_id,street_no,street_name,zip_code
2,7425,S Broadway Ave,75703
2,865,S Main St,33430
2,609,Naamans Rd,19703
2,45201,Schoenherr Rd,48315
2,3860,S State Rd,48108
2,9640,Hageman Rd,93312
2,32940,Michigan Ave,48184
2,2306,Dix Hwy,48146
2,1108,Lincoln Way East,44646
2,705,York Road,28086
2,10440,Highland Rd,48353
2,2408,Stringtown Rd,43123
2,1717,Grass Valley Hwy,95603
2,370,M St,95531
2,2050,W Main St,95380
2,2700,Geer Rd,95382
2,1680,Hilliard Rome Rd,43026
2,4652,Cemetery Rd,43026
2,1410,Main St,45013
2,294,S Hamilton Rd,43230
2,3013,Salem Ave,45406
2,2509,S Smithville Rd,45420
2,47,Woodman Dr,45431
2,3060,Kettering Blvd,45439
2,8440,N High St,43235
2,3834,Morse Rd,43219
2,4770,Sawmill Rd,43235
2,1221,E 9 Mile Rd,48030
2,12200,Gratiot Ave,48205
2,8428,Baltimore Ave,20740
2,7085,N Marks Ave,93711
2,7785,N 1st St,93720
2,991,W El Camino Real,94087
2,1350,Travis Blvd,94533
2,500,Contra Costa Blvd,94523
2,1700,Contra Costa Blvd,94523
2,500,Sierra St,93631
2,867,Oak Park Blvd,93449
2,1500,W Grand Ave,93433
2,535,W Tefft St,93444
2,3315,Union Ave,93305
2,2300,H St,93301
2,1520,Hillman St,93274
2,510,E Tulare Ave,93274
2,826,W University Ave,32601
2,4301,W Wisconsin Ave,54913
2,4817,Highway 29 S,56308
2,7295,University Ave NE,55432
2,975,W 78th St,55317
2,9230,Lyndale Ave S,55420
2,4141,Mormon Coulee Ct,54601
2,291,County Road 10 Ne,55434
2,1940,Suburban Ave,55119
2,215,E Lake St,55408
2,1901,Highway 13 W,55337
2,1101,Larpenteur Ave W,55113
2,14040,Highway 13 S,55378
2,17601,Halsted St,60430
2,306,W Rollins Rd,60073
2,2182,S Perryville Rd,61112
2,10710,N Main St,60071
2,5257,Trompeter Rd,61354
2,3101,N Sterling Ave,61604
2,7601,W 111th St,60465
2,1920,Court St,61554
2,2222,Green Bay Rd,60064
2,1527,E College Ave,61761
2,7535,N Harlem Ave,60714
2,100,W Ashland St,61550
2,1950,Douglas Rd,60538
2,4650,16th St,61265
2,3340,Mall Loop Dr,60431
2,270,E Army Trail Rd,60139
2,1882,S West Ave,61032
2,6728,Kalamazoo Ave SE,49508
2,535,E Idaho St,59901
2,1601,3rd St NW,59404
2,3051,Highway 80 E,39208
2,614,S State St,38614
2,1003,W University Ave,61801
2,1676,S 4th Ave,85364
2,7915,N Oracle Rd,85704
2,8270,N Cortaro Rd,85743
2,495,E Wetmore Rd,85705
2,4951,S Campbell Ave,85706
2,1111,S Wilmot Rd,85711
2,3455,E Grant Rd,85716
2,1801,E Guadalupe Rd,85283
2,13752,W Waddell Rd,85379
2,9059,E Indian Bend Rd,85250
2,14002,N Scottsdale Rd,85254
2,4430,S 48th St,85040
2,4209,W Bell Rd,85053
2,2102,11th Ave,35565
2,1017,Fort Dale Rd,36037
2,1101,Forestdale Blvd,35214
2,1897,Velp Ave,54303
2,1529,W Mason St,54303
2,1501,W Main Ave,54115
2,892,E Johnson St,54935
2,3402,S Belt Hwy,64503
2,2203,Droste Rd,63301
2,1303,S Perryville Blvd,63775
2,1630,W Osage St,63069
2,10426,Page Ave,63132
2,829,E Us Highway 60,65708
2,510,E Mount Vernon Blvd,65712
